,median,STD,mean
Bias,3.492409851729048e+25,5.408125272417998e+76,5.02131825682797e+75
RMSE,6.427654477296537e+25,9.640792683884757e+77,8.95125128864477e+76
ubRMSE,3.4176469546322155e+25,9.625611948547698e+77,8.937156329733811e+76
Corr,-0.015853554381851744,0.17816997067898097,-0.034790790756087944
R2,0.0088922258140879,0.053078974885085985,0.032954937573182824
NSE,-1.971640632092534e+48,3.736164624881822e+152,-3.46894176751284e+151
FLV,3.88481880152045e+24,6.848971783142321e+69,6.35911065718217e+68
FHV,6.7989273359640016e+25,1.1492403830362081e+77,1.0670429078752811e+76
PBias,5.301148698350041e+25,5.492627229799435e+76,5.099776354601901e+75
Biasflat,6.5812082928237406e+75,0.0,6.5812082928237406e+75
absBiasflat,6.5812082928237406e+75,0.0,6.5812082928237406e+75
RMSEflat,1.1084615272329838e+78,0.0,1.1084615272329838e+78
ubRMSEflat,1.1084419899359125e+78,0.0,1.1084419899359125e+78
corrflat,-0.0008263465992924472,0.0,-0.0008263465992924472
NSEflat,-4.1087661967350775e+148,0.0,-4.1087661967350775e+148
