,median,STD,mean
Bias,0.010000000000000004,823.6968565026795,-111.6960884246066
RMSE,0.010000000000000002,2422.5799208912013,339.4172438192087
ubRMSE,1.734723475976807e-18,2278.333312974741,319.9098715495149
Corr,,,
R2,3.7549456251203223e-34,4.436451375066579e-33,2.1942728205863393e-33
NSE,-inf,,-inf
R2_res,0.1279459225888839,0.17742875953966836,0.17207161397060153
FLV,inf,,inf
FHV,inf,,inf
PBias,inf,,inf
Biasflat,-111.69608842460661,0.0,-111.69608842460661
NSE_res,-inf,,-inf
absBiasflat,111.71267468608177,0.0,111.71267468608177
RMSEflat,2446.2415127102727,0.0,2446.2415127102727
ubRMSEflat,2443.690144502303,0.0,2443.690144502303
corrflat,,,
NSEflat,-0.00208921749690405,0.0,-0.00208921749690405
PBias_res,inf,,inf
Corr_res,0.11546566171059239,0.41067779012426153,0.05844113850066946
