prcp(daymet),site_no
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.44,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
23.01,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
1.55,01127500
0.0,01127500
0.0,01127500
0.0,01127500
6.46,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
10.1,01127500
11.01,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.48,01127500
8.24,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
3.15,01127500
0.0,01127500
7.59,01127500
5.89,01127500
0.0,01127500
26.06,01127500
0.0,01127500
0.0,01127500
16.62,01127500
1.2,01127500
0.0,01127500
0.0,01127500
35.96,01127500
1.94,01127500
0.0,01127500
27.66,01127500
80.95,01127500
6.57,01127500
0.0,01127500
9.98,01127500
1.73,01127500
0.0,01127500
0.0,01127500
0.0,01127500
7.62,01127500
1.69,01127500
5.8,01127500
0.0,01127500
0.0,01127500
21.63,01127500
17.49,01127500
0.0,01127500
0.0,01127500
0.0,01127500
6.41,01127500
56.68,01127500
1.91,01127500
0.0,01127500
0.0,01127500
2.31,01127500
10.1,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
3.43,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
13.39,01127500
25.49,01127500
0.95,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
1.87,01127500
15.98,01127500
5.06,01127500
0.0,01127500
0.0,01127500
4.39,01127500
2.0,01127500
1.18,01127500
0.0,01127500
0.0,01127500
0.0,01127500
1.58,01127500
2.2,01127500
2.29,01127500
9.53,01127500
17.9,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
4.13,01127500
5.22,01127500
2.55,01127500
4.21,01127500
0.75,01127500
0.0,01127500
17.04,01127500
10.93,01127500
6.39,01127500
4.57,01127500
2.48,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.02,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.29,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
3.44,01127500
22.76,01127500
9.43,01127500
0.4,01127500
4.45,01127500
0.0,01127500
0.0,01127500
17.2,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
4.79,01127500
0.21,01127500
0.0,01127500
0.0,01127500
5.36,01127500
8.9,01127500
5.16,01127500
23.41,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.0,01127500
11.35,01127500
77.02,01127500
0.0,01127500
0.0,01127500
0.0,01127500
19.25,01127500
0.0,01127500
0.0,01127500
0.0,01127500
0.77,01127500
